segment_id_original,start_seconds,end_seconds,speaker_cluster,raw_text,hearing_id,date,title,input_path,input_format,segment_index,segment_id,n_words,duration_seconds,start_timestamp,end_timestamp
10,39.954,55.225,SPEAKER_17,"I pledge allegiance to the flag of the United States of America and to the republic for which it stands, one nation, under God, indivisible, with liberty and justice for all.",h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,10,h1_2025_12_03_s00010,31,15.271,00:00:39.954,00:00:55.225
11,60.77,86.045,SPEAKER_12,an announcement to the public we will be closing the sign-up sheet speak tonight thirty minutes into the program so if you want to sign up to speak tonight please go outside there's a sign-up sheet the clerk will call the roll on this special hearing here's here canman canman excuse constant here desco,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,11,h1_2025_12_03_s00011,58,25.275,00:01:00.770,00:01:26.045
12,89.2,89.68,SPEAKER_26,Excuse.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,12,h1_2025_12_03_s00012,1,0.480000000000004,00:01:29.200,00:01:29.680
13,90.401,90.561,SPEAKER_26,Diener.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,13,h1_2025_12_03_s00013,1,0.1600000000000108,00:01:30.401,00:01:30.561
14,90.581,90.701,SPEAKER_26,Here.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,14,h1_2025_12_03_s00014,1,0.11999999999999034,00:01:30.581,00:01:30.701
15,91.642,92.182,SPEAKER_26,DelGiorno.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,15,h1_2025_12_03_s00015,1,0.5400000000000063,00:01:31.642,00:01:32.182
16,92.382,92.623,SPEAKER_26,Here.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,16,h1_2025_12_03_s00016,1,0.24099999999999966,00:01:32.382,00:01:32.623
17,92.823,93.183,SPEAKER_26,Steppe.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,17,h1_2025_12_03_s00017,1,0.36000000000001364,00:01:32.823,00:01:33.183
18,95.305,95.525,SPEAKER_26,Excuse.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,18,h1_2025_12_03_s00018,1,0.21999999999999886,00:01:35.305,00:01:35.525
19,96.265,96.886,SPEAKER_26,Douglas Williams.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,19,h1_2025_12_03_s00019,2,0.6209999999999951,00:01:36.265,00:01:36.886
20,97.786,97.887,SPEAKER_26,Here.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,20,h1_2025_12_03_s00020,1,0.10099999999999909,00:01:37.786,00:01:37.887
21,97.907,98.247,SPEAKER_26,Forsyth.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,21,h1_2025_12_03_s00021,1,0.3400000000000034,00:01:37.907,00:01:38.247
22,98.267,98.387,SPEAKER_26,Here.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,22,h1_2025_12_03_s00022,1,0.12000000000000455,00:01:38.267,00:01:38.387
23,99.348,99.628,SPEAKER_26,Frazee.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,23,h1_2025_12_03_s00023,1,0.28000000000000114,00:01:39.348,00:01:39.628
24,99.648,99.748,SPEAKER_26,Here.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,24,h1_2025_12_03_s00024,1,0.10000000000000853,00:01:39.648,00:01:39.748
25,100.649,101.089,SPEAKER_26,Fulgenzi.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,25,h1_2025_12_03_s00025,1,0.4399999999999977,00:01:40.649,00:01:41.089
26,101.109,101.229,SPEAKER_26,Here.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,26,h1_2025_12_03_s00026,1,0.12000000000000455,00:01:41.109,00:01:41.229
27,102.05,102.39,SPEAKER_26,Guyton.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,27,h1_2025_12_03_s00027,1,0.3400000000000034,00:01:42.050,00:01:42.390
28,103.46,103.88,SPEAKER_26,Excused.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,28,h1_2025_12_03_s00028,1,0.4200000000000017,00:01:43.460,00:01:43.880
29,103.9,104.0,SPEAKER_26,Hall.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,29,h1_2025_12_03_s00029,1,0.09999999999999432,00:01:43.900,00:01:44.000
30,105.18,105.46,SPEAKER_26,Here.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,30,h1_2025_12_03_s00030,1,0.2799999999999869,00:01:45.180,00:01:45.460
31,106.721,107.041,SPEAKER_26,Crell.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,31,h1_2025_12_03_s00031,1,0.3199999999999932,00:01:46.721,00:01:47.041
32,107.321,107.461,SPEAKER_26,Here.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,32,h1_2025_12_03_s00032,1,0.14000000000000057,00:01:47.321,00:01:47.461
33,108.041,108.381,SPEAKER_26,Lathan.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,33,h1_2025_12_03_s00033,1,0.3400000000000034,00:01:48.041,00:01:48.381
34,109.081,109.221,SPEAKER_17,Here.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,34,h1_2025_12_03_s00034,1,0.14000000000000057,00:01:49.081,00:01:49.221
35,110.321,110.741,SPEAKER_26,Madonia.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,35,h1_2025_12_03_s00035,1,0.4200000000000017,00:01:50.321,00:01:50.741
36,111.002,111.222,SPEAKER_26,Here.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,36,h1_2025_12_03_s00036,1,0.21999999999999886,00:01:51.002,00:01:51.222
37,111.822,112.282,SPEAKER_26,McGuire.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,37,h1_2025_12_03_s00037,1,0.45999999999999375,00:01:51.822,00:01:52.282
38,113.802,114.202,SPEAKER_26,Excused.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,38,h1_2025_12_03_s00038,1,0.3999999999999915,00:01:53.802,00:01:54.202
39,115.562,115.963,SPEAKER_26,Mendenhall.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,39,h1_2025_12_03_s00039,1,0.40099999999999625,00:01:55.562,00:01:55.963
40,116.403,116.583,SPEAKER_17,Here.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,40,h1_2025_12_03_s00040,1,0.1799999999999926,00:01:56.403,00:01:56.583
41,117.123,117.403,SPEAKER_26,Miller.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,41,h1_2025_12_03_s00041,1,0.28000000000000114,00:01:57.123,00:01:57.403
42,117.743,117.943,SPEAKER_17,Here.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,42,h1_2025_12_03_s00042,1,0.20000000000000284,00:01:57.743,00:01:57.943
43,119.063,119.343,SPEAKER_26,Rader.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,43,h1_2025_12_03_s00043,1,0.28000000000000114,00:01:59.063,00:01:59.343
44,119.843,120.043,SPEAKER_26,Here.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,44,h1_2025_12_03_s00044,1,0.20000000000000284,00:01:59.843,00:02:00.043
45,120.443,120.764,SPEAKER_26,Scaife.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,45,h1_2025_12_03_s00045,1,0.32099999999999795,00:02:00.443,00:02:00.764
46,121.024,121.204,SPEAKER_26,Here.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,46,h1_2025_12_03_s00046,1,0.1799999999999926,00:02:01.024,00:02:01.204
47,121.684,122.064,SPEAKER_26,Shackman.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,47,h1_2025_12_03_s00047,1,0.37999999999999545,00:02:01.684,00:02:02.064
48,122.424,122.604,SPEAKER_26,Here.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,48,h1_2025_12_03_s00048,1,0.1799999999999926,00:02:02.424,00:02:02.604
49,122.924,123.264,SPEAKER_26,Shepard.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,49,h1_2025_12_03_s00049,1,0.3399999999999892,00:02:02.924,00:02:03.264
50,125.064,125.464,SPEAKER_26,Excused.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,50,h1_2025_12_03_s00050,1,0.4000000000000057,00:02:05.064,00:02:05.464
51,126.325,126.665,SPEAKER_26,Small.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,51,h1_2025_12_03_s00051,1,0.3400000000000034,00:02:06.325,00:02:06.665
52,127.925,128.025,SPEAKER_26,Here.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,52,h1_2025_12_03_s00052,1,0.10000000000000853,00:02:07.925,00:02:08.025
53,128.045,128.285,SPEAKER_26,Stumpf.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,53,h1_2025_12_03_s00053,1,0.2400000000000091,00:02:08.045,00:02:08.285
54,128.705,128.905,SPEAKER_26,Here.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,54,h1_2025_12_03_s00054,1,0.19999999999998863,00:02:08.705,00:02:08.905
55,129.285,129.665,SPEAKER_26,Thomas.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,55,h1_2025_12_03_s00055,1,0.37999999999999545,00:02:09.285,00:02:09.665
56,129.845,130.005,SPEAKER_26,Here.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,56,h1_2025_12_03_s00056,1,0.1599999999999966,00:02:09.845,00:02:10.005
57,130.465,130.826,SPEAKER_26,Chumlin.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,57,h1_2025_12_03_s00057,1,0.36099999999999,00:02:10.465,00:02:10.826
58,131.066,131.206,SPEAKER_26,Here.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,58,h1_2025_12_03_s00058,1,0.13999999999998636,00:02:11.066,00:02:11.206
59,131.646,132.106,SPEAKER_26,Truex.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,59,h1_2025_12_03_s00059,1,0.46000000000000796,00:02:11.646,00:02:12.106
60,132.586,132.786,SPEAKER_07,Here.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,60,h1_2025_12_03_s00060,1,0.19999999999998863,00:02:12.586,00:02:12.786
61,133.178,158.204,SPEAKER_12,chairman's also present twenty three present six acts thank you mister clark we know we have a number of board members who are still trying to find a place to park but they will be here here shortly and we have a long agenda tonight so we thought it was important to go ahead and get started uh... is there a motion from the flora for organizing this evening's meeting mr delgiano mr delgiano is recognized,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,61,h1_2025_12_03_s00061,78,25.02600000000001,00:02:13.178,00:02:38.204
62,163.15,172.881,SPEAKER_18,"Mr. Chairman, there is a resolution that has been distributed establishing purpose and procedure for today's public hearing on the proposed data center, and I would move that that be adopted.",h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,62,h1_2025_12_03_s00062,32,9.730999999999995,00:02:43.150,00:02:52.881
63,173.221,173.762,SPEAKER_12,Is there a second?,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,63,h1_2025_12_03_s00063,4,0.5409999999999968,00:02:53.221,00:02:53.762
64,173.782,175.443,SPEAKER_12,Second.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,64,h1_2025_12_03_s00064,1,1.6610000000000014,00:02:53.782,00:02:55.443
65,175.464,176.685,SPEAKER_12,All in favor signify by saying aye.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,65,h1_2025_12_03_s00065,7,1.2210000000000036,00:02:55.464,00:02:56.685
66,177.305,177.406,SPEAKER_18,Aye.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,66,h1_2025_12_03_s00066,1,0.10099999999999909,00:02:57.305,00:02:57.406
67,177.426,178.287,SPEAKER_12,"Opposed, no.",h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,67,h1_2025_12_03_s00067,2,0.8610000000000184,00:02:57.426,00:02:58.287
68,178.407,179.027,SPEAKER_12,The ayes have it.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,68,h1_2025_12_03_s00068,4,0.6199999999999761,00:02:58.407,00:02:59.027
69,179.428,181.049,SPEAKER_12,Motion to organize the meeting is approved.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,69,h1_2025_12_03_s00069,7,1.6210000000000093,00:02:59.428,00:03:01.049
70,181.49,184.293,SPEAKER_12,Is there a motion for a temporary chairman for the hearing?,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,70,h1_2025_12_03_s00070,11,2.8029999999999973,00:03:01.490,00:03:04.293
71,187.437,188.077,SPEAKER_30,Chairman.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,71,h1_2025_12_03_s00071,1,0.6399999999999864,00:03:07.437,00:03:08.077
72,188.478,189.078,SPEAKER_30,Mr. Madonia.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,72,h1_2025_12_03_s00072,2,0.5999999999999943,00:03:08.478,00:03:09.078
73,189.778,194.741,SPEAKER_30,"I move that Mr. Stump, District 16 board member, be appointed chairman of the meeting.",h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,73,h1_2025_12_03_s00073,15,4.963000000000022,00:03:09.778,00:03:14.741
74,194.921,195.522,SPEAKER_12,Is there a second?,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,74,h1_2025_12_03_s00074,4,0.6009999999999991,00:03:14.921,00:03:15.522
75,196.943,197.123,SPEAKER_12,Second.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,75,h1_2025_12_03_s00075,1,0.1799999999999784,00:03:16.943,00:03:17.123
76,197.143,198.023,SPEAKER_12,Second by Mr. Desjardins.,h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,76,h1_2025_12_03_s00076,4,0.8799999999999955,00:03:17.143,00:03:18.023
